match_id,link,wp_link
12/02/2021,Day Session,Court 8,3,,MD216,McDonald,Mackenzie,USA,Tommy,Paul,USA,Mektic,Nikola,CRO,Mate,Pavic,CRO,0,2,https://wsczoominwestus.azureedge.net/dynamicassets/20b11a14-d7a2-47de-b026-393a9cfc0336.png,https://www.tennis.com.au/doc/ao2021-md216
12/02/2021,Day Session,Court 8,4,,WD203,Xu,Yifan,CHN,,,,Yang,Zhaoxuan,CHN,,,,11,11,https://www.tennis.com.au/doc/ao2021-placeholder,https://www.tennis.com.au/doc/ao2021-wd203
12/02/2021,Day Session,Court 13,1,,MD214,Duckworth,James,AUS,Marc,Polmans,AUS,Berankis,Ricardas,LTU,Mikhail,Kukushkin,KAZ,0,0,https://wsczoominwestus.azureedge.net/dynamicassets/2b292438-08ed-464d-b49d-31763512c5d6.png,https://www.tennis.com.au/doc/ao2021-md214
12/02/2021,Day Session,Court 13,2,,WD214,Badosa,Paula,ESP,Danka,Kovinic,MNE,Carter,Hayley,USA,Luisa,Stefani,BRA,0,12,https://wsczoominwestus.azureedge.net/dynamicassets/6f6cc0fc-4932-4e5e-a3f4-b536058e5c97.png,https://www.tennis.com.au/doc/ao2021-wd214
12/02/2021,Day Session,Court 13,3,,XD113,Schuurs,Demi,NED,Wesley,Koolhof,NED,Sanders,Storm,AUS,Marc,Polmans,AUS,5,0,https://wsczoominwestus.azureedge.net/dynamicassets/469c753e-573e-49ee-94dd-f77802caad5f.png,https://www.tennis.com.au/doc/ao2021-xd113
12/02/2021,Day Session,Court 13,4,,MD202,Arevalo,Marcelo,ESA,,,,Middelkoop,Matwe,NED,,,,0,0,https://www.tennis.com.au/doc/ao2021-placeholder,https://www.tennis.com.au/doc/ao2021-md202
12/02/2021,Day Session,Court 17,1,,WD208,Hradecka,Lucie,CZE,Kristyna,Pliskova,CZE,Fichman,Sharon,CAN,Giuliana,Olmos,MEX,0,0,https://wsczoominwestus.azureedge.net/dynamicassets/2f72ae98-a831-4854-b63c-1c8410553342.png,https://www.tennis.com.au/doc/ao2021-wd208
12/02/2021,Day Session,Court 17,2,,MD213,Herbert,Pierre-Hugues,FRA,Nicolas,Mahut,FRA,Hanfmann,Yannick,GER,Kevin,Krawietz,GER,8,0,https://wsczoominwestus.azureedge.net/dynamicassets/9ab3d8c6-37d6-4a98-b832-c8f9cc199155.png,https://www.tennis.com.au/doc/ao2021-md213
12/02/2021,Day Session,Court 17,3,,XD108,Hradecka,Lucie,CZE,Filip,Polasek,SVK,Chan,Latisha,TPE,Ivan,Dodig,CRO,0,7,https://www.tennis.com.au/doc/ao2021-placeholder,https://www.tennis.com.au/doc/ao2021-xd108
12/02/2021,Day Session,Court 17,4,,XD110,Siegemund,Laura,GER,Kevin,Krawietz,GER,Shibahara,Ena,JPN,Ben,McLachlan,JPN,0,0,https://www.tennis.com.au/doc/ao2021-placeholder,https://www.tennis.com.au/doc/ao2021-xd110
